REF_AREA;QUARTER;GDP_PER_CAPITA_USD_PPP;OBS_STATUS;REF_YEAR_PRICE;UNE_RATE_PCT;GDP_GROWTH_QOQ_PCT;UNE_CHANGE_QOQ_PP;GDP_LAG_1Q;UNE_LAG_1Q;GDP_LAG_2Q;UNE_LAG_2Q;GDP_ROLLING_4Q;UNE_ROLLING_4Q;GDP_GROWTH_YOY_PCT;UNE_CHANGE_YOY_PP;OBS_STATUS_ENC;QUARTER_IDX;YEAR;COUNTRY_IDX;GDP_GROUP;GDP_GROUP_ENC
CAN;2024Q1;51741.9;A;2020.0;5.8999999999999995;0.09343516412090302;0.13333333333333286;51693.6;5.766666666666667;52206.9;5.433333333333334;52061.45;5.583333333333333;-2.0412683807868537;0.7666666666666666;2;4;2024;4;HIGH;1
CAN;2024Q2;51825.9;A;2020.0;6.3;0.16234425098420324;0.40000000000000036;51741.9;5.8999999999999995;51693.6;5.766666666666667;51867.075;5.85;-1.4780413433352235;1.0666666666666664;2;5;2024;4;HIGH;1
CAN;2024Q3;51905.9;A;2020.0;6.5;0.15436297295368107;0.20000000000000018;51825.9;6.3;51741.9;5.8999999999999995;51791.825000000004;6.116666666666666;-0.5765521415751595;1.0666666666666664;2;6;2024;4;HIGH;1
CAN;2024Q4;51978.0;A;2020.0;6.766666666666667;0.13890521116095567;0.2666666666666666;51905.9;6.5;51825.9;6.3;51862.925;6.366666666666666;0.5501648173081408;1.0;2;7;2024;4;HIGH;1
CAN;2025Q1;52248.8;A;2020.0;6.7;0.5209896494670962;-0.06666666666666643;51978.0;6.766666666666667;51905.9;6.5;51989.65;6.566666666666666;0.9796702479035302;0.8000000000000007;2;8;2025;4;HIGH;1
CAN;2025Q2;52084.5;A;2020.0;6.933333333333334;-0.3144569827441046;0.2333333333333334;52248.8;6.7;51978.0;6.766666666666667;52054.3;6.725;0.49897831007275073;0.6333333333333337;2;9;2025;4;HIGH;1
CAN;2025Q3;52271.1;A;2020.0;7.033333333333334;0.35826397488696315;0.10000000000000053;52084.5;6.933333333333334;52248.8;6.7;52145.6;6.858333333333333;0.7035809031343154;0.5333333333333341;2;10;2025;4;HIGH;1
CAN;2025Q4;52237.7;A;2020.0;6.766666666666667;-0.06389764133527542;-0.2666666666666675;52271.1;7.033333333333334;52084.5;6.933333333333334;52210.524999999994;6.858333333333334;0.499634460733378;0.0;2;11;2025;4;HIGH;1
CHL;2023Q1;28035.1;A;2020.0;8.51452;;;;;;;;;;;2;0;2023;5;LOW;0
CHL;2023Q2;28092.2;A;2020.0;8.488384666666667;0.20367325245853607;-0.02613533333333251;28035.1;8.51452;;;28063.65;8.501452333333333;;;2;1;2023;5;LOW;0
CHL;2023Q3;28289.3;A;2020.0;8.807789666666666;0.7016182427862505;0.3194049999999997;28092.2;8.488384666666667;28035.1;8.51452;28138.86666666667;8.603564777777777;;;2;2;2023;5;LOW;0
CHL;2023Q4;28314.7;A;2020.0;8.894355;0.08978659775957798;0.08656533333333272;28289.3;8.807789666666666;28092.2;8.488384666666667;28182.825;8.676262333333334;;;2;3;2023;5;LOW;0
CHL;2024Q1;28649.6;A;2020.0;8.480173333333333;1.1827778503745279;-0.414181666666666;28314.7;8.894355;28289.3;8.807789666666666;28336.45;8.667675666666668;2.1918951599958714;-0.03434666666666608;2;4;2024;5;LOW;0
CHL;2024Q2;28401.1;A;2020.0;8.328021666666666;-0.8673768569194662;-0.15215166666666669;28649.6;8.480173333333333;28314.7;8.894355;28413.675;8.627584916666667;1.0995934814646002;-0.16036300000000026;2;5;2024;5;LOW;0
CHL;2024Q3;28823.9;A;2020.0;8.613756333333333;1.4886747344293072;0.28573466666666647;28401.1;8.328021666666666;28649.6;8.480173333333333;28547.324999999997;8.579076583333332;1.8897604394594536;-0.1940333333333335;2;6;2024;5;LOW;0
CHL;2024Q4;29051.0;A;2020.0;8.438572333333333;0.7878878291972979;-0.17518399999999978;28823.9;8.613756333333333;28401.1;8.328021666666666;28731.399999999998;8.465130916666666;2.6004160383122477;-0.455782666666666;2;7;2024;5;LOW;0
CHL;2025Q1;29312.8;A;2020.0;8.571713666666668;0.9011737978038559;0.13314133333333444;29051.0;8.438572333333333;28823.9;8.613756333333333;28897.2;8.488016;2.314866525187087;0.09154033333333444;2;8;2025;5;LOW;0
CHL;2025Q2;29355.4;A;2020.0;8.713891666666667;0.145329003029393;0.14217799999999947;29312.8;8.571713666666668;29051.0;8.438572333333333;29135.775;8.584483500000001;3.3600811236184525;0.3858700000000006;2;9;2025;5;LOW;0
CHL;2025Q3;29215.2;A;2020.0;8.381431999999998;-0.4775952635630909;-0.3324596666666686;29355.4;8.713891666666667;29312.8;8.571713666666668;29233.600000000002;8.526402416666667;1.357553974306036;-0.23232433333333447;2;10;2025;5;LOW;0
CHL;2025Q4;29324.5;A;2020.0;8.580675666666666;0.37412032092882797;0.1992436666666677;29215.2;8.381431999999998;29355.4;8.713891666666667;29301.975000000002;8.56192825;0.9414477986988468;0.14210333333333303;2;11;2025;5;LOW;0
COL;2023Q1;18636.5;A;2020.0;10.389104;;;;;;;;;;;2;0;2023;6;LOW;0
COL;2023Q2;18446.9;A;2020.0;10.236215333333334;-1.0173584095725996;-0.15288866666666578;18636.5;10.389104;;;18541.7;10.312659666666667;;;2;1;2023;6;LOW;0
COL;2023Q3;18337.9;A;2020.0;9.618097;-0.5908851893814182;-0.6181183333333333;18446.9;10.236215333333334;18636.5;10.389104;18473.766666666666;10.08113877777778;;;2;2;2023;6;LOW;0
COL;2023Q4;18443.0;A;2020.0;10.394016666666666;0.5731299658085165;0.775919666666665;18337.9;9.618097;18446.9;10.236215333333334;18466.075;10.15935825;;;2;3;2023;6;LOW;0
COL;2024Q1;18441.1;A;2020.0;10.608023333333334;-0.010302011603324779;0.214006666666668;18443.0;10.394016666666666;18337.9;9.618097;18417.225;10.214088083333333;-1.048480133072205;0.2189193333333339;2;4;2024;6;LOW;0
COL;2024Q2;18569.9;A;2020.0;10.463706666666667;0.6984398978369111;-0.14431666666666665;18441.1;10.608023333333334;18443.0;10.394016666666666;18447.975;10.270960916666667;0.6667786999441594;0.22749133333333305;2;5;2024;6;LOW;0
COL;2024Q3;18464.3;A;2020.0;9.837871999999999;-0.5686621898879474;-0.6258346666666679;18569.9;10.463706666666667;18441.1;10.608023333333334;18479.575;10.325904666666666;0.6892828513624716;0.2197749999999985;2;6;2024;6;LOW;0
COL;2024Q4;18729.4;A;2020.0;9.728196666666667;1.4357435700243393;-0.10967533333333179;18464.3;9.837871999999999;18569.9;10.463706666666667;18551.175;10.159449666666667;1.5528926964159862;-0.6658199999999983;2;7;2024;6;LOW;0
COL;2025Q1;18762.3;A;2020.0;9.383700333333332;0.17565965807766482;-0.3444963333333355;18729.4;9.728196666666667;18464.3;9.837871999999999;18631.475;9.853368916666666;1.7417616085808385;-1.2243230000000018;2;8;2025;6;LOW;0
COL;2025Q2;18722.8;A;2020.0;8.851975666666666;-0.21052855993135555;-0.5317246666666655;18762.3;9.383700333333332;18729.4;9.728196666666667;18669.7;9.450436166666666;0.8233754624418888;-1.6117310000000007;2;9;2025;6;LOW;0
COL;2025Q3;18958.2;A;2020.0;8.784044333333334;1.2572905761958797;-0.06793133333333223;18722.8;8.851975666666666;18762.3;9.383700333333332;18793.175;9.18697925;2.674891547472691;-1.053827666666665;2;10;2025;6;LOW;0
CRI;2023Q1;25073.3;A;2020.0;10.326867666666667;;;;;;;;;;;2;0;2023;7;LOW;0
CRI;2023Q2;25420.9;A;2020.0;9.706139;1.3863352650030247;-0.6207286666666665;25073.3;10.326867666666667;;;25247.1;10.016503333333333;;;2;1;2023;7;LOW;0
CRI;2023Q3;25601.9;A;2020.0;8.317846333333334;0.7120125565971414;-1.3882926666666666;25420.9;9.706139;25073.3;10.326867666666667;25365.36666666667;9.450284333333334;;;2;2;2023;7;LOW;0
CRI;2023Q4;25757.6;A;2020.0;7.447611666666667;0.6081579882742938;-0.8702346666666667;25601.9;8.317846333333334;25420.9;9.706139;25463.425;8.949616166666667;;;2;3;2023;7;LOW;0
CRI;2024Q1;25967.2;A;2020.0;7.809183333333333;0.8137404105972745;0.3615716666666664;25757.6;7.447611666666667;25601.9;8.317846333333334;25686.9;8.320195083333335;3.5651469890281673;-2.5176843333333334;2;4;2024;7;LOW;0
CRI;2024Q2;26207.3;A;2020.0;8.215935666666667;0.9246279922363598;0.4067523333333334;25967.2;7.809183333333333;25757.6;7.447611666666667;25883.5;7.947644250000001;3.093517538718138;-1.4902033333333335;2;5;2024;7;LOW;0
CRI;2024Q3;26297.5;A;2020.0;6.917025333333332;0.34417891198255113;-1.2989103333333345;26207.3;8.215935666666667;25967.2;7.809183333333333;26057.399999999998;7.597439;2.7169858487065435;-1.4008210000000014;2;6;2024;7;LOW;0
CRI;2024Q4;26586.5;A;2020.0;7.005929666666667;1.0989637798269891;0.08890433333333458;26297.5;6.917025333333332;26207.3;8.215935666666667;26264.625;7.4870185;3.21807932416065;-0.44168200000000013;2;7;2024;7;LOW;0
CRI;2025Q1;26713.0;A;2020.0;7.330810333333333;0.47580538995355415;0.32488066666666615;26586.5;7.005929666666667;26297.5;6.917025333333332;26451.074999999997;7.36742525;2.8720847838811903;-0.4783730000000004;2;8;2025;7;LOW;0
CRI;2025Q2;27252.2;A;2020.0;6.858511;2.018492868640731;-0.47229933333333296;26713.0;7.330810333333333;26586.5;7.005929666666667;26712.300000000003;7.0280690833333335;3.9870570413587103;-1.3574246666666667;2;9;2025;7;LOW;0
CRI;2025Q3;27408.5;A;2020.0;6.214135333333334;0.5735316781764421;-0.644375666666666;27252.2;6.858511;26713.0;7.330810333333333;26990.050000000003;6.8523465833333335;4.2247361916532;-0.7028899999999982;2;10;2025;7;LOW;0
CRI;2025Q4;27564.5;A;2020.0;6.412633;0.5691664994436074;0.19849766666666557;27408.5;6.214135333333334;27252.2;6.858511;27234.550000000003;6.704022416666667;3.6785586669926484;-0.5932966666666672;2;11;2025;7;LOW;0
CZE;2023Q1;47263.9;A;2020.0;2.533333333333333;;;;;;;;;;;2;0;2023;8;HIGH;1
CZE;2023Q2;47381.4;A;2020.0;2.566666666666667;0.2486041143451967;0.03333333333333366;47263.9;2.533333333333333;;;47322.65;2.55;;;2;1;2023;8;HIGH;1
CZE;2023Q3;47095.4;A;2020.0;2.6333333333333333;-0.6036123879834654;0.06666666666666643;47381.4;2.566666666666667;47263.9;2.533333333333333;47246.9;2.577777777777778;;;2;2;2023;8;HIGH;1
CZE;2023Q4;47250.3;A;2020.0;2.766666666666667;0.32890685714528356;0.13333333333333375;47095.4;2.6333333333333333;47381.4;2.566666666666667;47247.75;2.625;;;2;3;2023;8;HIGH;1
CZE;2024Q1;47339.5;A;2020.0;2.8666666666666667;0.18878187016801995;0.09999999999999964;47250.3;2.766666666666667;47095.4;2.6333333333333333;47266.65;2.7083333333333335;0.15995294505954938;0.3333333333333335;2;4;2024;8;HIGH;1
